cd_sector,x65,rest,prop_65plussers
11002F11-,339,3117,9.809027777777777
11002F12-,261,2664,8.923076923076923
11002F21-,750,3437,17.91258657750179
11002F223,210,639,24.73498233215548
11002F60-,218,1656,11.632870864461047
11002F61-,419,4340,8.804370666106324
11002F62-,479,2003,19.298952457695407
11002F64-,269,2060,11.550021468441392
11002F65-,268,1926,12.215132178669098
11002F6MJ,0,4,0
11002F6NJ,0,7,0
11002G51-,385,2435,13.652482269503546
11002G522,257,770,25.024342745861734
11002G53-,771,2567,23.097663271420014
11002G54-,564,1816,23.697478991596636
11002G552,81,376,17.72428884026258
11002G59-,8,66,10.81081081081081
11002G72-,173,742,18.907103825136613
11002G73-,135,509,20.96273291925466
11002G74-,135,510,20.930232558139537
11002G75-,21,120,14.893617021276595
11002G780,138,70,66.34615384615384
11002H40-,238,3557,6.271409749670618
11002H41-,349,4062,7.912038086601678
11002H43-,373,3589,9.414437152953054
11002H44-,256,2744,8.533333333333333
11002H83-,263,3267,7.45042492917847
11002H84-,24,515,4.452690166975881
11002H8MJ,1,NA,NA
11002J072,50,654,7.1022727272727275
11002J80-,599,3174,15.875960773919958
11002J820,55,1082,4.8372911169744945
11002J83-,102,1141,8.205953338696702
11002J84-,98,297,24.810126582278478
11002J85-,514,2541,16.824877250409166
11002J873,2,28,6.666666666666667
11002J8AN,298,2582,10.347222222222221
11002K171,6,35,14.634146341463413
11002K173,3,3,50
11002K214,9,42,17.647058823529413
11002L000,364,1745,17.259364627785683
11002L011,241,1138,17.476432197244378
11002L022,38,130,22.61904761904762
11002L090,49,159,23.557692307692307
11002L100,529,2352,18.361679972231865
11002L111,232,788,22.745098039215687
11002L122,392,1691,18.819011041766682
11002L18-,20,55,26.666666666666668
11002P00-,292,1275,18.634333120612638
11002P01-,372,1885,16.48205582631812
11002P02-,288,1199,19.36785474108944
11002P03-,518,2334,18.162692847124827
11002P04-,661,1803,26.8262987012987
11002P05-,162,607,21.066319895968793
11002P100,398,1892,17.37991266375546
11002P111,247,1285,16.12271540469974
11002P12-,189,792,19.26605504587156
11002P20-,270,1029,20.785219399538107
11002P22-,190,833,18.57282502443793
11002P23-,337,1674,16.757831924415715
11002P242,76,166,31.40495867768595
11002P2AP,318,922,25.645161290322584
11002P392,2,NA,NA
11002P500,184,1030,15.15650741350906
