cd_sector,tx_sector_descr_nl,ms_avg_tot_net_taxable_inc,ms_median_net_taxable_inc
11002R35-,MORKHOVEN,29112,24942
11002R39-,BOTERLAARHOF,NA,NA
11002R401,BOEKENBERG,37479,29373
11002R41-,DRAKENHOF,38705,31400
11002R42-,BOEKENBERGLEI,37991,27721
11002R43-,EKSTERLAAR,33704,28359
11002R44-,BOTERLAAR - SILSBURG,30108,25293
11002R47-,VLIEGVELD,28847,22596
11002S00-,BORGERHOUT - GEMEENTEHUIS,28630,23398
11002S01-,FONTEINSTRAAT,24412,20482
11002S02-,DEN BLEEKHOF,26042,21980
11002S03-,KROONSTRAAT-WEST,28106,22443
11002S04-,HET LAAR,29076,22932
11002S05-,KATTENBERG,26177,21357
11002S10-,STENENBRUG-ZUID,28622,24454
11002S11-,COLLEGE,30916,26823
11002S12-,VAN DE PERRELEI,33007,24749
11002S13-,BOELAERPARK-NOORD,33961,27067
11002S20-,FOORPLEIN,26070,23035
11002S2MJ,E3 - E39,26476,22976
11002S30-,DE PEPERBUS,25864,21254
11002S31-,ST.-ANNA,24202,20621
11002S41-,LABORATORIUM,34163,25272
11002S42-,GITSCHOTEL,30366,25307
11002S43-,CRUYSLEI,30217,24008
11002T00-,OP TEN BERGH,29316,23327
11002T01-,POSTHOF,31847,23844
11002T02-,HOFVELD,27998,21384
11002T03-,STUIVENBERG,38639,27596
11002T04-,OUDE JUSTITIE,45608,30627
11002T05-,TURKEYEN,35823,27770
11002T09-,VESTINGEN,24665,20189
11002T10-,RUYTENBURG,42956,30106
11002T111,FRUITHOF,33114,25904
11002T12-,OUDE BAEN,38851,25906
11002T13-,MOLENVELD,44920,31382
11002T14-,DE VELDEKENS,41993,29915
11002T180,ROOY,39405,28629
11002T20-,GITSCHOTEL,31783,25097
11002T21-,VOSSTRAETE,29971,23654
11002T22-,GROENENHOEK,34299,27574
11002T23-,BERCHEMBOS,36409,29108
11002T24-,TUINWIJK,29341,24730
11002T25-,HET PRIEEL,NA,18272
11002T30-,ZURENBORG,43835,28672
11002T39-,OOSTKWARTIER,NA,NA
11002T412,ZILVERBEEK,34250,26983
11002T42-,DE ZEPTEN,35243,28326
11002U00-,WILRIJK-CENTRUM,34619,27216
11002U01-,YPERMAN - STEYTELINCK,32315,24619
11002U02-,OVERSNES - DUIVELSHOEK,35616,27043
11002U03-,KOORNBLOEM,40867,31838
11002U09-,SLIJKHOEK - FORT 6,32858,27651
11002U10-,HONDSNEST - MOLENVELD,36490,27555
11002U11-,PARKWIJK,46921,28931
11002U20-,VALAAR - DE BREM,31791,25749
11002U21-,DE BRUYNLAAN-ZUID,30352,25773
11002U22-,DE BRUYNLAAN-NOORD,22662,20794
11002U30-,OOSTERVELD,38431,28964
11002U31-,ELSDONK-OOST,39546,31701
11002U32-,ELSDONK-WEST,66782,37977
11002U33-,SINT-AUGUSTINUS,38103,28155
11002U40-,EDEN,42599,32196
11002U41-,U.I.A. VOORJAARSSTRAAT,42138,31213
11002U43-,GALLAITLAAN,37124,29670
11002U47-,INDUSTRIEPARK-OOST,43061,37643
11002U57-,TER BEKE HOF DREEF,35449,25862
11002U5MA,GROENE HOEK - TER BEKE,NA,NA
11002U5PA,GROENE HOEK - TER BEKE,NA,NA
11002U60-,DOOY SLOOY,43042,29593
11002U68-,SCHOONSELHOF - FORT 7,NA,NA
11002U69-,KLAVERBLAD,NA,NA
